Date,trapVisitID,subSiteName,catchRawID,commonName,n,forkLength,totalLength,mort,CatchRaw.comments
2021/02/04 00:00:00,9388,ST004L1,93731,Bluegill,1,37,NA,No,NA
2019/05/28 00:00:00,9053,ST004L1B,90767,Bluegill,1,28,NA,No,NA
2019/03/16 00:00:00,8931,ST004L1,89314,Bluegill,1,48,NA,No,NA
2019/03/19 00:00:00,8935,ST004L1,89357,Bluegill,1,130,NA,No,NA
2019/04/18 00:00:00,8994,ST004L1B,89800,Bluegill,1,32,NA,Yes,NA
2021/02/17 00:00:00,9415,ST004L1B,93790,Bluegill,1,27,NA,No,NA
2021/02/13 00:00:00,9407,ST004L1B,93774,Bluegill,1,33,NA,No,NA
2019/05/29 00:00:00,9057,ST004L1B,90849,Bluegill,1,22,NA,No,NA
2021/02/12 00:00:00,9406,ST004L1,93769,Bluegill,1,38,NA,No,NA
2020/05/01 00:00:00,9306,ST004L1B,93065,Bluegill,1,34,NA,No,NA
2019/05/28 00:00:00,9056,ST004L1,90807,Bluegill,1,37,NA,Yes,NA
2019/03/14 00:00:00,8925,ST004L1,89220,Bluegill,1,46,NA,Yes,NA
2019/05/28 00:00:00,9053,ST004L1B,90768,Bluegill,1,28,NA,No,NA
2021/02/03 00:00:00,9386,ST004L1,93720,Bluegill,1,80,NA,No,NA
2021/02/03 00:00:00,9386,ST004L1,93719,Bluegill,1,43,NA,No,NA
2021/02/03 00:00:00,9385,ST004L1B,93717,Bluegill,1,45,NA,No,NA
2019/05/28 00:00:00,9053,ST004L1B,90766,Bluegill,1,27,NA,No,NA
2021/01/29 00:00:00,9375,ST004L1B,93413,Bluegill,1,54,NA,No,NA
2020/04/19 00:00:00,9284,ST004L1B,93008,Bluegill,1,34,NA,No,NA
2020/04/19 00:00:00,9289,ST004L1,93023,Bluegill,1,26,NA,No,NA
2021/02/02 00:00:00,9383,ST004L1,93680,Bluegill,1,35,NA,No,NA
2021/02/07 00:00:00,9393,ST004L1,93752,Bluegill,1,32,NA,No,NA
2017/02/06 00:00:00,8310,ST004L1,78048,Bluegill,1,43,NA,No,NA
2017/03/16 00:00:00,8399,ST004L1B,81294,Bluegill,1,34,NA,Yes,NA
2020/03/11 00:00:00,9211,ST004L1B,91937,Bluegill,1,37,NA,No,NA
2020/03/11 00:00:00,9211,ST004L1B,91936,Bluegill,1,36,NA,No,NA
2020/02/22 00:00:00,9186,ST004L1,91832,Bluegill,1,53,NA,No,NA
2020/02/22 00:00:00,9186,ST004L1,91831,Bluegill,1,42,NA,No,NA
2020/02/25 00:00:00,9182,ST004L1B,91786,Bluegill,1,36,NA,No,NA
2017/02/09 00:00:00,8317,ST004L1B,78455,Bluegill,1,58,NA,Yes,NA
2020/02/16 00:00:00,9173,ST004L1,91751,Bluegill,1,32,NA,No,NA
2021/03/14 00:00:00,9468,ST004L1,94034,Bluegill,1,26,NA,No,NA
2020/03/06 00:00:00,9214,ST004L1,91976,Bluegill,1,19,NA,No,NA
2020/02/18 00:00:00,9175,ST004L1,91757,Bluegill,1,36,NA,No,NA
2020/02/18 00:00:00,9175,ST004L1,91756,Bluegill,1,44,NA,No,NA
2020/02/17 00:00:00,9174,ST004L1,91754,Bluegill,1,33,NA,No,NA
2020/02/16 00:00:00,9173,ST004L1,91753,Bluegill,1,57,NA,No,NA
2021/03/05 00:00:00,9461,ST004L1B,94001,Bluegill,1,40,NA,No,NA
2020/02/16 00:00:00,9173,ST004L1,91752,Bluegill,1,43,NA,No,NA
2017/02/05 00:00:00,8309,ST004L1,78044,Bluegill,1,39,NA,No,NA
2020/02/25 00:00:00,9182,ST004L1B,91785,Bluegill,1,57,NA,Yes,NA
2017/02/08 00:00:00,8312,ST004L1,78055,Bluegill,1,42,NA,No,NA
2020/04/02 00:00:00,9253,ST004L1B,92345,Bluegill,1,33,NA,No,NA
2020/04/07 00:00:00,9261,ST004L1B,92492,Bluegill,1,45,NA,No,NA
2020/03/31 00:00:00,9247,ST004L1,92273,Bluegill,1,27,NA,No,NA
2020/03/31 00:00:00,9240,ST004L1B,92183,Bluegill,1,27,NA,No,NA
2020/03/18 00:00:00,9235,ST004L1,92135,Bluegill,1,34,NA,Yes,NA
2020/03/16 00:00:00,9233,ST004L1,92095,Bluegill,1,29,NA,No,NA
