releaseID,releaseFishID,forkLength,ReleaseFish.comments
303,5137,38,NA
303,5149,39,NA
303,5126,33,NA
303,5127,37,NA
303,5128,36,NA
303,5129,40,NA
303,5130,34,NA
303,5131,32,NA
303,5132,37,NA
303,5133,36,NA
303,5134,38,NA
303,5124,33,NA
303,5136,36,NA
303,5123,34,NA
303,5138,34,NA
303,5139,37,NA
303,5140,36,NA
303,5141,38,NA
303,5142,39,NA
303,5143,47,NA
303,5144,37,NA
303,5145,37,NA
303,5146,32,NA
303,5099,37,NA
303,5135,33,NA
303,5112,33,NA
303,5100,34,NA
303,5101,37,NA
303,5102,38,NA
303,5103,36,NA
303,5104,33,NA
303,5105,36,NA
303,5106,36,NA
303,5107,37,NA
303,5108,32,NA
303,5109,34,NA
303,5125,32,NA
303,5111,34,NA
303,5151,42,NA
303,5113,45,NA
303,5114,39,NA
303,5115,36,NA
303,5116,39,NA
303,5117,37,NA
303,5118,37,NA
303,5119,45,NA
303,5120,37,NA
303,5121,36,NA
303,5122,37,NA
303,5110,38,NA
303,5189,35,NA
303,5147,42,NA
303,5178,37,NA
303,5179,38,NA
303,5180,33,NA
303,5181,47,NA
303,5182,33,NA
303,5183,30,NA
303,5184,32,NA
303,5185,37,NA
303,5186,33,NA
303,5176,39,NA
303,5188,37,NA
303,5175,35,NA
303,5190,36,NA
303,5191,36,NA
303,5192,32,NA
303,5193,37,NA
303,5194,33,NA
303,5195,43,NA
303,5196,33,NA
303,5197,42,NA
303,5198,32,NA
303,4999,44,NA
303,5187,36,NA
303,5164,35,NA
303,5152,38,NA
303,5153,33,NA
303,5154,39,NA
303,5155,46,NA
303,5156,36,NA
303,5157,37,NA
303,5158,38,NA
303,5159,33,NA
303,5160,36,NA
303,5161,37,NA
303,5177,36,NA
303,5163,36,NA
303,5148,43,NA
303,5165,37,NA
303,5166,34,NA
303,5167,38,NA
303,5168,39,NA
303,5169,44,NA
303,5170,38,NA
303,5171,39,NA
303,5172,36,NA
303,5173,37,NA
303,5174,36,NA
303,5162,35,NA
303,5037,34,NA
303,5025,33,NA
303,5026,39,NA
303,5027,38,NA
303,5028,32,NA
303,5029,33,NA
303,5030,37,NA
303,5031,33,NA
303,5032,38,NA
303,5033,32,NA
303,5034,37,NA
303,5048,38,NA
303,5036,37,NA
303,5022,34,NA
303,5038,35,NA
303,5039,31,NA
303,5040,36,NA
303,5041,34,NA
303,5042,34,NA
303,5043,32,NA
303,5044,33,NA
303,5045,37,NA
303,5046,34,NA
303,5047,36,NA
303,5035,31,NA
303,5011,32,NA
303,5150,31,NA
303,5000,41,NA
303,5098,37,NA
303,5002,36,NA
303,5003,32,NA
303,5004,38,NA
303,5005,37,NA
303,5006,33,NA
303,5007,33,NA
303,5008,36,NA
303,5024,35,NA
303,5010,34,NA
303,5023,33,NA
303,5012,37,NA
303,5013,33,NA
303,5014,36,NA
303,5015,39,NA
303,5016,37,NA
303,5017,33,NA
303,5018,37,NA
303,5019,34,NA
303,5020,38,NA
303,5021,38,NA
303,5001,33,NA
303,5009,37,NA
303,5085,36,NA
303,5073,38,NA
303,5074,34,NA
303,5075,38,NA
303,5076,33,NA
303,5077,39,NA
303,5078,38,NA
303,5079,38,NA
303,5080,36,NA
303,5081,33,NA
303,5082,37,NA
303,5072,38,NA
303,5084,37,NA
303,5095,36,NA
303,5086,33,NA
303,5087,32,NA
303,5088,37,NA
303,5089,33,NA
303,5090,37,NA
303,5091,37,NA
303,5092,37,NA
303,5093,39,NA
303,5094,37,NA
303,5096,37,NA
303,5083,38,NA
303,5055,43,NA
303,5071,44,NA
303,5097,36,NA
303,5050,33,NA
303,5051,36,NA
303,5052,38,NA
303,5054,44,NA
303,5049,36,NA
303,5056,33,NA
303,5057,36,NA
303,5058,37,NA
303,5059,39,NA
303,5066,36,NA
303,5069,33,NA
303,5053,32,NA
303,5060,34,NA
303,5067,35,NA
303,5070,37,NA
303,5065,37,NA
303,5064,38,NA
303,5063,34,NA
303,5062,33,NA
303,5061,36,NA
303,5068,36,NA
304,5326,36,NA
304,5333,34,NA
304,5335,35,NA
304,5334,30,NA
304,5332,37,NA
304,5331,36,NA
304,5330,37,NA
304,5329,46,NA
304,5327,36,NA
304,5336,37,NA
304,5328,42,NA
304,5337,56,NA
304,5338,37,NA
304,5339,32,NA
304,5340,37,NA
304,5341,35,NA
304,5342,41,NA
304,5343,37,NA
304,5344,37,NA
304,5345,35,NA
304,5325,39,NA
304,5347,35,NA
304,5312,37,NA
304,5348,35,NA
304,5346,37,NA
304,5311,35,NA
304,5301,38,NA
304,5375,38,NA
304,5349,44,NA
304,5302,40,NA
304,5303,36,NA
304,5304,37,NA
304,5305,53,NA
304,5306,39,NA
304,5307,37,NA
304,5308,37,NA
304,5314,35,NA
304,5310,38,NA
304,5324,36,NA
304,5313,36,NA
304,5315,46,NA
304,5316,41,NA
304,5317,41,NA
304,5318,36,NA
304,5319,39,NA
304,5320,37,NA
304,5321,34,NA
304,5322,34,NA
304,5323,38,NA
304,5309,37,NA
304,5388,39,NA
304,5373,43,NA
304,5377,43,NA
304,5378,37,NA
304,5379,36,NA
304,5380,32,NA
304,5381,43,NA
304,5382,43,NA
304,5383,45,NA
304,5384,35,NA
304,5385,62,NA
304,5300,43,NA
304,5387,39,NA
304,5374,43,NA
304,5389,41,NA
304,5390,40,NA
304,5391,33,NA
304,5392,44,NA
304,5393,39,NA
304,5394,36,NA
304,5395,42,NA
304,5396,46,NA
304,5397,40,NA
304,5273,34,NA
304,5386,43,NA
304,5363,58,NA
304,5351,36,NA
304,5352,37,NA
304,5353,37,NA
304,5354,34,NA
304,5355,54,NA
304,5356,38,NA
304,5357,33,NA
304,5358,38,NA
304,5359,37,NA
304,5360,38,NA
304,5376,44,NA
304,5362,32,NA
304,5350,39,NA
304,5364,52,NA
304,5365,55,NA
304,5366,43,NA
304,5367,44,NA
304,5368,38,NA
304,5369,38,NA
304,5370,40,NA
304,5371,56,NA
304,5372,47,NA
304,5398,42,NA
304,5361,34,NA
304,5237,33,NA
304,5248,37,NA
304,5226,37,NA
304,5227,36,NA
304,5228,37,NA
304,5229,36,NA
304,5230,33,NA
304,5231,36,NA
304,5232,34,NA
304,5233,37,NA
304,5234,39,NA
304,5222,36,NA
304,5236,34,NA
304,5221,37,NA
304,5238,36,NA
304,5239,37,NA
304,5240,34,NA
304,5241,36,NA
304,5242,37,NA
304,5243,36,NA
304,5244,37,NA
304,5245,31,NA
304,5246,29,NA
304,5247,32,NA
304,5235,36,NA
304,5210,44,NA
304,5275,36,NA
304,5299,34,NA
304,5200,46,NA
304,5201,43,NA
304,5202,47,NA
304,5203,41,NA
304,5204,41,NA
304,5205,53,NA
304,5206,42,NA
304,5207,41,NA
304,5224,36,NA
304,5209,48,NA
304,5225,34,NA
304,5211,42,NA
304,5212,48,NA
304,5213,43,NA
304,5214,44,NA
304,5215,33,NA
304,5216,33,NA
304,5217,31,NA
304,5218,35,NA
304,5219,35,NA
304,5220,35,NA
