Date,trapVisitID,subSiteName,catchRawID,releaseID,commonName,lifeStage,forkLength,weight,n,mort,fishOrigin,markType,CatchRaw.comments
4/14/2020 0:00,9323,ST004L1B,93141,0,Steelhead / rainbow trout,Smolt,232,130.2,1,No,Natural,No marks or tags,NA
5/13/2020 0:00,9336,ST004L1B,93271,0,Steelhead / rainbow trout,Smolt,208,94.5,1,No,Natural,No marks or tags,NA
