Date,trapVisitID,subSiteName,turbidity,waterVel,dissolvedOxygen,waterDepth,Environmental.comments
2017/02/01 00:00:00,8302,ST004L1,NA,NA,NA,153,Water velocity not recorded.
2017/02/02 00:00:00,8303,ST004L1,NA,NA,NA,145,Water temp not recorded. Turbidity not recorded. D.O. not recorded. Water velocity not recorded.
2017/02/03 00:00:00,8304,ST004L1,4.51,NA,NA,140,Water temp not recorded. D.O. not recorded. Water velocity not recorded.
2017/02/04 00:00:00,8305,ST004L1,5.71,NA,7.15,140,Water velocity not recorded.
2017/02/05 00:00:00,8309,ST004L1,4.16,NA,8.1,140,Water velocity not recorded.
2017/02/06 00:00:00,8310,ST004L1,6.03,NA,7.75,126,Water velocity not recorded.
2017/02/07 00:00:00,8311,ST004L1,14.31,NA,8.13,140,Water velocity not recorded. One water sample taken for both traps.
2017/02/08 00:00:00,8312,ST004L1,19.71,NA,8.64,208,Water velocity not recorded.
2017/02/09 00:00:00,8313,ST004L1,15.63,NA,8.75,NA,Water velocity not recorded. Water depth not recorded: too deep (estimated at 302 cm).
2017/02/10 00:00:00,8314,ST004L1,10.56,NA,9.45,NA,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).
2017/02/11 00:00:00,8315,ST004L1,19.56,NA,8.45,NA,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).
2017/02/12 00:00:00,8324,ST004L1,10.56,NA,8.83,NA,Water velocity not recorded. Water depth not recorded: too deep ( >300 cm).
2017/02/13 00:00:00,8325,ST004L1,6.48,NA,9.66,300,Water velocity not recorded.
2017/02/14 00:00:00,8327,ST004L1,3.9,NA,8.05,281,Water velocity not recorded.
2017/02/15 00:00:00,8333,ST004L1,4.01,0.2,8.27,288,NA
2017/02/16 00:00:00,8334,ST004L1,3.97,0.2,8.12,253,NA
2017/02/17 00:00:00,8335,ST004L1,9.34,0.2,8.44,260,NA
2017/02/18 00:00:00,8343,ST004L1,11.98,0.4,9.05,287,NA
2017/02/19 00:00:00,8345,ST004L1,8.68,0.3,9.19,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/20 00:00:00,8346,ST004L1,8.95,0.3,9.71,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/21 00:00:00,8347,ST004L1,21.7,0.6,9.09,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/22 00:00:00,8349,ST004L1,43.5,0.8,7.99,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/23 00:00:00,8360,ST004L1,24.7,0.4,8.93,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/24 00:00:00,8361,ST004L1,16.9,0.3,9.46,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/25 00:00:00,8362,ST004L1,10.13,0.3,9.82,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/26 00:00:00,8363,ST004L1,12.76,0.3,8.96,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/27 00:00:00,8364,ST004L1,10.95,0.3,9.11,NA,Water depth not recorded: too deep ( >300 cm).
2017/02/28 00:00:00,8365,ST004L1,5.88,0.2,8.44,293,NA
2017/03/01 00:00:00,8366,ST004L1,11.91,0.2,8.93,284,NA
2017/03/02 00:00:00,8367,ST004L1,13.64,0.2,9.25,277,NA
2017/03/03 00:00:00,8368,ST004L1,14.93,0.3,9.1,255,NA
2017/03/04 00:00:00,8369,ST004L1,15.88,0.2,9.02,255,NA
2017/03/05 00:00:00,8370,ST004L1,15.09,0.2,8.65,260,NA
2017/03/06 00:00:00,8371,ST004L1,13.81,0.3,8.45,260,NA
2017/03/07 00:00:00,8372,ST004L1,14.39,0.3,8.65,260,NA
2017/03/08 00:00:00,8373,ST004L1,11.02,0.2,9.48,265,NA
2017/03/09 00:00:00,8374,ST004L1,11.21,0.2,9.06,261,NA
2017/03/10 00:00:00,8375,ST004L1,11.69,0.3,9,254,NA
2017/03/11 00:00:00,8376,ST004L1,12.23,0.3,8.67,253,NA
2017/03/12 00:00:00,8377,ST004L1,12.75,0.3,7.1,247,NA
2017/03/13 00:00:00,8378,ST004L1,8.57,0.5,9.58,285,NA
2017/03/14 00:00:00,8379,ST004L1,8.06,0.5,9.16,290,NA
2017/03/15 00:00:00,8380,ST004L1,8.21,0.7,9.29,285,NA
2017/03/16 00:00:00,8381,ST004L1,4.75,0.6,9.03,276,NA
2017/03/17 00:00:00,8382,ST004L1,7.06,0.6,9.44,284,NA
2017/03/18 00:00:00,8383,ST004L1,8.78,0.5,8.71,285,NA
2017/03/19 00:00:00,8384,ST004L1,9.05,0.6,9.13,280,NA
2017/03/20 00:00:00,8385,ST004L1,7.45,0.6,8.48,280,NA
2017/03/21 00:00:00,8386,ST004L1,7.49,0.6,9.36,277,NA
2017/03/22 00:00:00,8387,ST004L1,5.37,0.6,9.14,293,NA
2017/03/23 00:00:00,8433,ST004L1,9.57,0.7,8.6,NA,Water depth not recorded: too deep (estimated at 307 cm).
2017/03/24 00:00:00,8434,ST004L1,8.16,0.7,9.81,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/25 00:00:00,8435,ST004L1,6.51,0.8,9.93,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/26 00:00:00,8436,ST004L1,7.05,0.5,10.1,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/27 00:00:00,8437,ST004L1,7.43,0.4,9.84,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/28 00:00:00,8438,ST004L1,6.26,0.7,9.96,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/29 00:00:00,8439,ST004L1,5.48,0.6,NA,NA,Water depth not recorded: too deep ( >300 cm). DO recorded as 16.6 mg/L: likely incorrect.
2017/03/30 00:00:00,8440,ST004L1,7.38,0.6,9.64,NA,Water depth not recorded: too deep ( >300 cm).
2017/03/31 00:00:00,8441,ST004L1,6.63,0.5,9.8,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/01 00:00:00,8442,ST004L1,5.09,0.5,9.85,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/03 00:00:00,8443,ST004L1,NA,0.8,10,270,NA
2017/04/04 00:00:00,8444,ST004L1,5.29,0.5,9.67,265,NA
2017/04/05 00:00:00,8445,ST004L1,4.6,0.6,9.42,279,NA
2017/04/06 00:00:00,8446,ST004L1,6.94,0.7,9.76,278,NA
2017/04/07 00:00:00,8447,ST004L1,6.59,0.7,10.01,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/08 00:00:00,8448,ST004L1,5.77,0.9,NA,300,Water temperature and DO not recorded.
2017/04/10 00:00:00,8449,ST004L1,NA,0.6,10.62,288,NA
2017/04/11 00:00:00,8450,ST004L1,6.41,0.5,10.47,NA,Water depth not recorded: too deep (estimated at 301 cm).
2017/04/12 00:00:00,8451,ST004L1,5.77,0.7,10.36,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/13 00:00:00,8452,ST004L1,6.75,0.6,10.06,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/14 00:00:00,8453,ST004L1,5.9,0.7,10.04,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/15 00:00:00,8454,ST004L1,6.05,0.6,10.35,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/17 00:00:00,8455,ST004L1,NA,NA,NA,NA,Environmental data not recorded.
2017/04/18 00:00:00,8456,ST004L1,6.51,0.8,10.38,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/19 00:00:00,8457,ST004L1,5.81,0.9,10.2,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/20 00:00:00,8458,ST004L1,5.73,0.7,8.55,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/21 00:00:00,8459,ST004L1,5.96,0.9,10.34,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/22 00:00:00,8460,ST004L1,NA,NA,NA,NA,Environmental data not recorded.
2017/04/24 00:00:00,8461,ST004L1,NA,0.8,10.16,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/25 00:00:00,8462,ST004L1,4.35,0.8,9.8,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/26 00:00:00,8463,ST004L1,4.8,0.8,10.02,NA,Water depth not recorded: too deep ( >300 cm).
2017/04/27 00:00:00,8464,ST004L1,5.05,0.7,9.44,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/01 00:00:00,8465,ST004L1,NA,0.9,NA,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/02 00:00:00,8466,ST004L1,4.78,1.1,8.24,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/03 00:00:00,8467,ST004L1,4.49,0.7,8.59,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/04 00:00:00,8468,ST004L1,3.35,1,9.13,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/05 00:00:00,8469,ST004L1,4.36,1.2,9.85,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/06 00:00:00,8470,ST004L1,4,0.9,8.54,NA,Water depth not recorded: too deep ( >300 cm).
2017/05/08 00:00:00,8471,ST004L1,NA,NA,9.66,NA,Water velocity not recorded.
2017/05/09 00:00:00,8472,ST004L1,3.37,0.8,9.94,NA,Water depth not recorded: too deep ( >300 cm).
